lambda_per_min,days,congestion_rate_mean,congestion_rate_ci_low,congestion_rate_ci_high,avg_delay_min_mean,avg_delay_min_ci_low,avg_delay_min_ci_high,divert_rate_mean,divert_rate_ci_low,divert_rate_ci_high,avg_arrivals_per_day,avg_diverted_per_day
0.02,1000,0.013502523924725469,0.01221192462718035,0.014793123222270587,-0.9090199416966145,-0.9391229678459398,-0.8789169155472891,0.03892002479494661,0.036438647285797335,0.04140140230409589,21.35,0.871
0.05,1000,0.03167737211960657,0.03043258129114885,0.03292216294806429,-0.30197373047553033,-0.3404150469309909,-0.26353241402006977,0.10225125480217513,0.09983541759527283,0.10466709200907744,54.122,5.631
0.08,1000,0.04560929574962987,0.04444267944659315,0.046775912052666596,0.4761054922385408,0.423104783041067,0.5291062014360146,0.1615422816801236,0.15932293835506767,0.16376162500517955,86.113,14.076
0.1,1000,0.05326587254006019,0.05215966150198438,0.054372083578136,1.0378439684459704,0.976570067366894,1.0991178695250468,0.2036589047279108,0.20158494318918016,0.20573286626664142,107.914,22.151
0.15,1000,0.06890411468204738,0.06787097994284848,0.06993724942124628,2.56165782648694,2.4855876049336385,2.6377280480402416,0.29860970968880224,0.2967668061973097,0.30045261318029476,162.264,48.679
0.2,1000,0.08253954167594552,0.08157087197229883,0.0835082113795922,3.946194529448524,3.862535347099655,4.029853711797393,0.38303353230398873,0.3814514762708752,0.38461558833710224,215.511,82.792
